LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT5G07280;2316.586226;1735.970462;1124.224402;1512.655675;1273.861575;1049.884923;907.7878414
AT5G07500;920.3271693;840.7603191;1013.565011;837.5606024;1067.126888;7426.417984;1662.394982
AT5G08130;963.387228;893.6775605;739.8524158;777.307791;817.7416442;849.3469925;764.7987714
AT5G08170;1616.562646;1499.923693;3060.23591;4226.9952;4036.593147;3045.194006;1423.467581
AT5G08470;818.6280882;742.5223795;782.0984288;781.6705235;841.2671765;1009.205343;2714.483805
AT5G09900;13901.92979;12344.30915;9462.211029;8613.661432;7752.987524;5277.1652;8259.655729
AT5G10330;1932.516333;2409.668815;1696.450639;1623.849758;1257.683296;1132.734445;1028.423969
AT5G10360;26821.31796;31289.36863;37563.91221;40698.18645;39080.97234;28163.4108;6410.554408
AT5G10480;1136.633278;2089.84781;3490.504631;3077.011375;5543.60712;8118.95201;1751.980405
AT5G11890;799.4932118;743.2658872;729.1353315;775.5833517;772.7859426;793.3007318;722.9178469
AT5G13010;699.6654817;612.3941586;692.7286756;709.7607913;709.3135074;750.7799215;1088.669287
AT5G13480;995.3306656;980.9472285;1165.6087;1117.586211;1021.342206;1064.345638;1189.104372
AT5G13510;946.1980357;1273.027523;2036.000061;2500.095486;3091.163089;2461.664226;1027.201164
AT5G13690;808.4594358;832.6824819;1001.276039;884.2725724;1011.055821;2918.280278;722.5889056
AT5G13710;50189.38861;46923.38745;46532.35987;51997.95128;47289.19196;38762.13341;6412.370165
AT5G14170;6282.58501;9337.74894;8756.383034;6536.431735;5809.093067;3674.376213;4630.339096
AT5G14320;5766.797954;6354.74869;17593.34182;23439.31843;35267.10612;31826.37788;3378.876205
AT5G14760;863.7646153;868.5732132;973.8756204;1024.229998;929.8886309;943.5960148;825.5408903
AT5G14800;4455.915387;4046.561125;11392.58985;13914.49378;15122.23971;9580.319527;5343.8832
AT5G15540;878.6226645;903.8753727;1001.857929;975.0485773;924.8718361;1018.349672;1093.267979
AT5G15920;1330.261053;1200.636929;1569.703517;1714.824129;1308.870422;985.6254786;994.6803983
AT5G16390;3325.997945;5533.794321;14605.73162;12722.45244;20426.02338;22170.77174;3268.393443
AT5G16715;776.0214551;804.7818055;910.0888785;969.9896648;1019.939281;947.648226;808.941519
AT5G16750;820.3228306;835.6533262;854.9075251;928.2792554;833.300549;842.5164848;805.2648692
AT5G17710;892.86677;948.0365871;896.2224561;855.1562292;957.1233184;928.9665983;1095.130041
AT5G18570;894.7477634;1240.511863;1373.510817;1642.510957;3172.01172;1492.902483;1528.594914
AT5G18580;1155.2113;1088.557511;1687.11141;1761.410726;2124.191599;2832.959829;1078.299407
